,Date,Volume,Open,High,Low,Close,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_200,MACD_Line,MACD_Signal,MACD_Hist,RSI_7,RSI_14,RSI_21,ROC_12,ATR_14,BB_Middle_20,BB_Upper_20,BB_Lower_20,StochK_14,StochD_14,KDJ_K_14,KDJ_D_14,KDJ_J_14,OBV,CMF_20,NADAQ CLOSE
52,2025-06-23,154308900.0,142.5,144.78,142.03,144.17,161.005,171.06060000000002,,159.37744785555125,165.97891006148146,168.15335936975876,-6.217959799559225,-4.948079975445676,-1.2698798241135485,15.68789190042773,22.820382061471065,27.116109399732892,-12.145033516148695,5.039648291870324,161.005,177.2997734597709,144.7102265402291,13.606027214224966,17.395761351955734,13.606027214224966,17.395761351955734,6.026558938763429,-992818600.0,0.2698532815785086,19630.97
53,2025-06-20,242956200.0,145.45,146.2,142.65,143.85,159.62849999999997,170.52200000000002,,157.89864329787972,165.11110966691356,167.9115348984179,-6.674428076529836,-5.293349595662508,-1.3810784808673278,15.400290906706871,22.598293249180287,26.92572001704839,-11.68344793713163,4.933244842451014,159.62849999999997,176.85746371016856,142.3995362898314,9.031362726737287,13.037421941516756,9.031362726737287,13.037421941516756,1.01924429717835,-1235774800.0,0.26248332282423753,19447.41
54,2025-06-18,161494100.0,144.005,145.65,143.12,145.48,158.28199999999998,169.94799999999998,,156.71591536474833,164.3412622289954,167.68833554619485,-6.825969569010766,-5.59987359033216,-1.2260959786786065,23.711587617361403,26.52102978881929,29.57054301889373,-9.07500000000001,4.761584496561656,158.28199999999998,175.51433631104126,141.0496636889587,10.594560582916076,11.077316841292776,10.594560582916076,11.077316841292776,9.629048066162678,-1074280700.0,0.30820816987232014,19546.27
55,2025-06-17,139108000.0,144.49,145.22,143.78,144.12,156.83800000000002,169.227,,155.51630437762944,163.5482715533485,167.4538247447402,-6.975399860054097,-5.874978844276547,-1.1004210157775498,21.64194960578935,25.36591505162383,28.661728920365533,-8.923154701718905,4.542899889664394,156.83800000000002,173.7138233795223,139.96217662047775,11.51245893415395,10.379460747935772,11.51245893415395,10.379460747935772,13.778455306590306,-1213388700.0,0.27689220894392697,19521.09
56,2025-06-16,183133700.0,143.345,146.175,143.2001,144.69,155.504,168.48879999999997,,154.48522777023615,162.80873149243288,167.22731902588706,-6.967513052637258,-6.093485685948689,-0.8740273666885692,24.849322084439635,26.80483868043774,29.613711643165644,-9.194175975900599,4.43089989754551,155.504,171.74930688505026,139.25869311494972,13.491542547629253,11.86618735489976,13.491542547629253,11.86618735489976,16.742252933088242,-1030255000.0,0.24378791711105186,19701.21
57,2025-06-13,180820600.0,142.48,143.58,140.855,141.97,154.0675,167.69280000000003,,153.29330131592795,161.9915263358669,166.9760024186643,-7.098912128847587,-6.294570974528469,-0.8043411543191183,20.237578425832126,24.38846685424771,27.757729579794685,-9.717011128775832,4.3883356191494025,154.0675,169.72537224235404,138.40962775764595,10.202111910444579,11.735371130742593,10.202111910444579,11.735371130742593,7.135593469848551,-1211075600.0,0.24196634725458593,19406.83
58,2025-06-12,162365000.0,141.97,145.0,141.85,145.0,153.114,166.9966,,152.50346309536337,161.32519196975448,166.75733572793135,-6.879251437800434,-6.411507067182862,-0.4677443706175719,35.73747826843611,31.767512206296942,32.691869736015505,-5.414220482713638,4.299883074924446,153.114,168.52786170404954,137.70013829595047,14.264032586284332,12.652562348119389,14.264032586284332,12.652562348119389,17.48697306261422,-1048710600.0,0.2775806130680673,19662.48
59,2025-06-11,167694000.0,144.61,144.99,141.87,142.83,152.0095,166.2934,,151.58218089580495,160.59989032388177,166.51925278536487,-6.801861991107643,-6.489578051967818,-0.31228393913982444,30.745467066628592,29.543791910590244,31.094833622042543,-9.595544021773527,4.216319998144128,152.0095,167.02191237320446,136.99708762679555,13.272161934721396,12.579435477150101,13.272161934721396,12.579435477150101,14.657614849863986,-1216404600.0,0.28011766847153374,19615.88
60,2025-06-10,155881900.0,142.69,144.29,141.525,143.96,151.0025,165.673,,150.85625890572828,159.94734560529818,166.29478260839608,-6.573572686820029,-6.506376978938261,-0.06719570788176821,36.162862655968546,32.205113076896,32.88744745303619,-8.741679873217112,4.112654283990975,151.0025,165.28427178305063,136.72072821694937,17.222066647901386,14.919420389635704,17.222066647901386,14.919420389635704,21.82735916443275,-1060522700.0,0.28031051821964087,19714.99
61,2025-06-09,185114500.0,143.19,145.0,141.94,142.63,149.99,165.01760000000002,,150.0728056766113,159.26823401293356,166.0593121346807,-6.42589790212952,-6.490281163576513,0.06438326144699236,32.65522289195182,30.733647816884513,31.863012728834548,-7.992517094568452,4.037464692277334,149.99,163.58081268628433,136.3991873137157,12.797535704212917,14.4305880956119,12.797535704212917,14.4305880956119,9.531430921414948,-1245637200.0,0.24959210582730162,19591.24
62,2025-06-06,153986200.0,142.51,143.27,141.51,141.72,149.076,164.3392,,149.27730037407687,158.58006797321067,165.8171299243854,-6.309561271364828,-6.454137185134176,0.14457591376934786,30.308543345230007,29.732649759466256,31.16557047514172,-8.15890091374506,3.8747886428289546,149.076,162.28571157898543,135.86628842101456,10.928417336878027,13.649339896330778,10.928417336878027,13.649339896330778,5.486572217972526,-1399623400.0,0.18794219351556157,19529.95
63,2025-06-05,232410800.0,142.17,144.0,138.83,139.99,148.1635,163.4988,,148.39279557654575,157.85104569975144,165.56014355697857,-6.284516204282909,-6.420212988963923,0.13569678468101376,26.141871387491904,27.873958857198318,29.86084966643655,-5.348208248816766,3.9673037397697426,148.1635,161.22837178417083,135.09862821582917,7.607180546909178,10.444377862666707,7.607180546909178,10.444377862666707,1.9327859153941205,-1632034200.0,0.15251376483804735,19298.45
